Flight Number,Origin,Destination,Company,Departure Time,Arrival Time,Duration Time,Flight Price,Date,Cabin Class
IndiGo - 6114,DEL,BOM,IndiGo ,22:00,00:20,2h 20m,"4,950",19-08-2025,Economy
IndiGo - 2163,DEL,BOM,IndiGo ,20:00,22:20,2h 20m,"5,050",19-08-2025,Economy
SpiceJet - 709,DEL,BOM,SpiceJet ,19:45,22:15,2h 30m,"4,945",19-08-2025,Economy
SpiceJet - 546,DEL,BOM,SpiceJet ,20:10,22:40,2h 30m,"5,188",19-08-2025,Economy
Air India - 2981,DEL,BOM,Air India ,21:00,23:20,2h 20m,"5,801",19-08-2025,Economy
Air India - 2805,DEL,BOM,Air India ,20:00,22:25,2h 25m,"5,801",19-08-2025,Economy
Air India - 2433,DEL,BOM,Air India ,21:30,23:55,2h 25m,"5,801",19-08-2025,Economy
Air India - 2977,DEL,BOM,Air India ,19:00,21:30,2h 30m,"5,801",19-08-2025,Economy
Air India - 2985,DEL,BOM,Air India ,19:30,22:00,2h 30m,"5,904",19-08-2025,Economy
Air India - 2957,DEL,BOM,Air India ,20:30,23:05,2h 35m,"5,801",19-08-2025,Economy
Akasa Air - 1128,DEL,BOM,Akasa Air ,16:00,18:05,2h 05m,"6,830",19-08-2025,Economy
IndiGo - 6318,DEL,BOM,IndiGo ,15:30,17:50,2h 20m,"6,723",19-08-2025,Economy
IndiGo - 354,DEL,BOM,IndiGo ,19:00,21:20,2h 20m,"6,723",19-08-2025,Economy
IndiGo - 864,DEL,BOM,IndiGo ,17:00,19:20,2h 20m,"6,723",19-08-2025,Economy
IndiGo - 6706,DEL,BOM,IndiGo ,18:00,20:20,2h 20m,"6,723",19-08-2025,Economy
IndiGo - 5091,HDO,BOM,IndiGo ,17:40,20:05,2h 25m,"6,694",19-08-2025,Economy
IndiGo - 395,DEL,BOM,IndiGo ,21:00,23:25,2h 25m,"6,723",19-08-2025,Economy
Air India - 2955,DEL,BOM,Air India ,17:55,20:15,2h 20m,"7,188",19-08-2025,Economy
Air India Exp - 1163,DEL,BOM,Air India Exp ,17:00,19:30,2h 30m,"7,276",19-08-2025,Economy
IndiGo - 2775,BOM,DEL,IndiGo ,01:15,03:15,2h,"4,599",20-08-2025,Economy
Air India - 2986,BOM,DEL,Air India ,00:50,03:00,2h 10m,"4,719",20-08-2025,Economy
IndiGo - 656,BOM,DEL,IndiGo ,05:00,07:05,2h 05m,"4,970",20-08-2025,Economy
Air India Exp - 1176,BOM,HDO,Air India Exp ,04:30,06:45,2h 15m,"4,599",20-08-2025,Economy
Air India - 2930,BOM,DEL,Air India ,05:15,07:35,2h 20m,"4,800",20-08-2025,Economy
IndiGo - 6045,BOM,DEL,IndiGo ,03:00,05:15,2h 15m,"4,599",20-08-2025,Economy
